lever_id,group,subgroup,label,description,input_type,min,max,default,step,unit,direct_impacts_json,secondary_impacts_json,dependencies_json,conflicts_json,explanation_template,direction_rule,effort_level,weight
increase_aisle_width,Aisles / rows / geometry,aisle,increase aisle width,Increase aisle width for safer and smoother passing,slider_percent,0,1,0,0.05,ratio,"{""accessibility_index"": 0.22, ""congestion_index"": -0.12}","{""usable_space_index"": -0.12}",{},{},Aisle width adjusted,higher_better,medium,0.8
reduce_aisle_width,Aisles / rows / geometry,aisle,reduce aisle width,Reduce aisle width to reclaim space,slider_percent,0,1,0,0.05,ratio,"{""usable_space_index"": 0.2, ""cube_utilization_index"": 0.12}","{""congestion_index"": 0.2, ""accessibility_index"": -0.15}",{},{},Aisle width reduced,mixed,medium,0.8
add_cross_aisle,Aisles / rows / geometry,cross,add cross-aisle,Add cross aisle links,number_input,0,5,0,1,count,"{""travel_distance_index"": -0.2, ""route_complexity_index"": -0.1}","{""usable_space_index"": -0.05}",{},{},Cross aisles added,higher_better,high,0.9
improve_cross_aisle_placement,Aisles / rows / geometry,cross,improve cross-aisle placement,Improve cross-aisle location quality,slider_percent,0,1,0,0.05,ratio,"{""travel_distance_index"": -0.15, ""accessibility_index"": 0.12}",{},{},{},Cross aisle placement improved,higher_better,medium,0.8
reconfigure_row_length,Aisles / rows / geometry,rows,reconfigure row length,Tune row length by zone,slider_percent,0,1,0,0.05,ratio,"{""route_complexity_index"": -0.12, ""zone_balance_index"": 0.1}","{""pick_density_index"": 0.08}",{},{},Row length changed,mixed,high,0.7
reduce_dead_end_travel,Aisles / rows / geometry,flow,reduce dead-end travel exposure,Reduce dead-end movement,slider_percent,0,1,0,0.05,ratio,"{""travel_distance_index"": -0.14, ""order_flow_smoothness"": 0.1}",{},{},{},Dead-end exposure reduced,higher_better,medium,0.7
add_route_cut_through,Aisles / rows / geometry,flow,add route cut-through,Add cut-through links,number_input,0,10,0,1,count,"{""travel_distance_index"": -0.18, ""route_complexity_index"": -0.1}","{""hotspot_concentration_index"": 0.06}",{},{},Cut-throughs added,higher_better,high,0.9
convert_one_way_aisles,Aisles / rows / geometry,flow,convert two-way flow to one-way aisle logic,Apply one-way discipline,toggle,0,1,0,1,bool,"{""flow_separation_index"": 0.2, ""congestion_index"": -0.14}","{""route_complexity_index"": 0.05}",{},{},One-way enabled,mixed,low,0.8
rebalance_aisle_count_by_zone,Aisles / rows / geometry,zoning,rebalance aisle count by zone,Redistribute aisle inventory by demand,slider_percent,0,1,0,0.05,ratio,"{""zone_balance_index"": 0.18, ""travel_distance_index"": -0.1}",{},{},{},Aisle count rebalanced,higher_better,high,0.7
compress_reserve_footprint,Aisles / rows / geometry,space,compress reserve footprint,Reduce reserve footprint,slider_percent,0,1,0,0.05,ratio,"{""usable_space_index"": 0.14, ""forward_pick_effectiveness_index"": 0.08}","{""reserve_pressure_index"": 0.15}",{},{},Reserve compressed,mixed,medium,0.7
expand_forward_pick_footprint,Aisles / rows / geometry,space,expand forward-pick footprint,Expand forward-pick space,slider_percent,0,1,0,0.05,ratio,"{""forward_pick_effectiveness_index"": 0.2, ""travel_distance_index"": -0.12}","{""replenishment_interference_index"": 0.18}",{},{},Forward pick expanded,mixed,high,0.9
reslot_top_20_fast_movers,Slotting / SKU placement,slotting,re-slot top 20 fast movers,Relocate fastest 20 SKUs,number_input,0,20,0,1,count,"{""slotting_quality_index"": 0.14, ""travel_distance_index"": -0.12}","{""hotspot_concentration_index"": 0.05}",{},{},Top 20 re-slotted,mixed,low,0.9
reslot_top_50_fast_movers,Slotting / SKU placement,slotting,re-slot top 50 fast movers,Relocate fastest 50 SKUs,number_input,0,50,0,1,count,"{""slotting_quality_index"": 0.2, ""travel_distance_index"": -0.15}","{""hotspot_concentration_index"": 0.1}",{},{},Top 50 re-slotted,mixed,medium,1.0
improve_abc_slotting,Slotting / SKU placement,slotting,improve ABC slotting compliance,Increase ABC adherence,slider_percent,0,1,0,0.05,ratio,"{""slotting_quality_index"": 0.2, ""pick_density_index"": 0.1}",{},{},{},ABC improved,higher_better,medium,0.9
improve_family_grouping,Slotting / SKU placement,slotting,improve family grouping,Group related SKUs,slider_percent,0,1,0,0.05,ratio,"{""slotting_quality_index"": 0.14, ""route_complexity_index"": -0.1}",{},{},{},Family grouping improved,higher_better,medium,0.8
improve_affinity_slotting,Slotting / SKU placement,slotting,improve affinity slotting,Optimize affinity placement,slider_percent,0,1,0,0.05,ratio,"{""slotting_quality_index"": 0.12, ""pick_density_index"": 0.1}",{},{},{},Affinity improved,higher_better,medium,0.8
move_heavy_skus,Slotting / SKU placement,slotting,move heavy SKUs to better positions,Safer heavy SKU placement,slider_percent,0,1,0,0.05,ratio,"{""accessibility_index"": 0.1, ""congestion_index"": -0.05}",{},{},{},Heavy SKUs moved,higher_better,medium,0.6
improve_golden_zone_assignment,Slotting / SKU placement,slotting,improve golden-zone assignment,Increase ergonomic placements,slider_percent,0,1,0,0.05,ratio,"{""pick_density_index"": 0.1, ""travel_time_index"": -0.08}",{},{},{},Golden zone improved,higher_better,medium,0.7
move_fast_movers_dispatch,Slotting / SKU placement,slotting,move fast movers closer to dispatch,Reduce dispatch side travel,slider_percent,0,1,0,0.05,ratio,"{""travel_distance_index"": -0.16, ""dock_adjacency_index"": 0.08}","{""hotspot_concentration_index"": 0.08}",{},{},Fast movers moved,mixed,medium,0.8
isolate_promo_skus,Slotting / SKU placement,slotting,isolate promo SKUs,Dedicated promo zones,toggle,0,1,0,1,bool,"{""zone_balance_index"": 0.08, ""congestion_index"": -0.06}","{""usable_space_index"": -0.03}",{},{},Promo isolated,mixed,low,0.6
push_low_runners_reserve,Slotting / SKU placement,slotting,push low-runners to reserve,Shift slow movers out of pick face,slider_percent,0,1,0,0.05,ratio,"{""forward_pick_effectiveness_index"": 0.12, ""pick_density_index"": 0.08}","{""reserve_pressure_index"": 0.1}",{},{},Low-runners moved,mixed,low,0.6
reduce_fragmented_pick_faces,Slotting / SKU placement,slotting,reduce fragmented pick faces,Consolidate fragmented pick faces,slider_percent,0,1,0,0.05,ratio,"{""pick_density_index"": 0.14, ""travel_distance_index"": -0.1}",{},{},{},Fragmentation reduced,higher_better,medium,0.8
simplify_path_structure,Picking-path / flow layout,path,simplify path structure,Simplify route network,slider_percent,0,1,0,0.05,ratio,"{""route_complexity_index"": -0.2, ""travel_time_index"": -0.1}",{},{},{},Path simplified,higher_better,medium,0.8
increase_pick_path_directness,Picking-path / flow layout,path,increase pick-path directness,Improve direct pathing,slider_percent,0,1,0,0.05,ratio,"{""travel_distance_index"": -0.15, ""travel_time_index"": -0.1}",{},{},{},Directness improved,higher_better,medium,0.9
improve_branch_pick_friendliness,Picking-path / flow layout,path,improve branch-and-pick friendliness,Reduce branch conflicts,slider_percent,0,1,0,0.05,ratio,"{""congestion_index"": -0.08, ""route_complexity_index"": -0.08}",{},{},{},Branch pick improved,higher_better,medium,0.7
separate_case_pallet_flow,Picking-path / flow layout,flow,separate case-pick and pallet flow,Segregate process streams,toggle,0,1,0,1,bool,"{""flow_separation_index"": 0.2, ""congestion_index"": -0.12}","{""usable_space_index"": -0.04}",{},{},Case/pallet separated,mixed,high,0.9
rebalance_pick_zones,Picking-path / flow layout,flow,rebalance pick zones,Balance load across zones,slider_percent,0,1,0,0.05,ratio,"{""zone_balance_index"": 0.2, ""service_risk_index"": -0.1}",{},{},{},Zones rebalanced,higher_better,medium,0.9
reduce_backtracking,Picking-path / flow layout,path,reduce backtracking exposure,Eliminate frequent reversals,slider_percent,0,1,0,0.05,ratio,"{""travel_distance_index"": -0.12, ""route_complexity_index"": -0.1}",{},{},{},Backtracking reduced,higher_better,medium,0.8
reduce_route_complexity,Picking-path / flow layout,path,reduce route complexity,Reduce routing options complexity,slider_percent,0,1,0,0.05,ratio,"{""route_complexity_index"": -0.18, ""order_flow_smoothness"": 0.08}",{},{},{},Complexity reduced,higher_better,medium,0.8
improve_cut_through_access,Picking-path / flow layout,path,improve cut-through access,Improve cut-through connectivity,slider_percent,0,1,0,0.05,ratio,"{""travel_distance_index"": -0.1, ""accessibility_index"": 0.08}",{},{},{},Cut-through access improved,higher_better,medium,0.7
separate_inbound_outbound_staging,Dock / staging adjacency,dock,separate inbound and outbound staging,Split inbound/outbound staging,toggle,0,1,0,1,bool,"{""staging_efficiency_index"": 0.16, ""flow_separation_index"": 0.1}","{""usable_space_index"": -0.04}",{},{},Staging separated,mixed,medium,0.8
improve_staging_to_door_mapping,Dock / staging adjacency,dock,improve staging-to-door mapping,Better assignment lanes-to-doors,slider_percent,0,1,0,0.05,ratio,"{""staging_efficiency_index"": 0.2, ""dock_adjacency_index"": 0.12}",{},{},{},Mapping improved,higher_better,medium,0.9
add_staging_lanes,Dock / staging adjacency,dock,add staging lanes,Add staging lanes,number_input,0,20,0,1,count,"{""staging_efficiency_index"": 0.14}","{""usable_space_index"": -0.1}",{},{},Staging lanes added,mixed,high,0.8
improve_dock_adjacency,Dock / staging adjacency,dock,improve dock adjacency,Improve receiving-shipping proximity,slider_percent,0,1,0,0.05,ratio,"{""dock_adjacency_index"": 0.2, ""travel_distance_index"": -0.08}",{},{},{},Dock adjacency improved,higher_better,high,0.9
reduce_dispatch_walking,Dock / staging adjacency,dock,reduce dispatch-side walking,Reduce dispatch walking travel,slider_percent,0,1,0,0.05,ratio,"{""travel_distance_index"": -0.1, ""staging_efficiency_index"": 0.08}",{},{},{},Dispatch walking reduced,higher_better,medium,0.7
create_cross_dock_lane,Dock / staging adjacency,dock,create cross-dock lane,Enable cross-dock lane,toggle,0,1,0,1,bool,"{""dock_adjacency_index"": 0.12, ""service_risk_index"": -0.08}","{""usable_space_index"": -0.06}",{},{},Cross dock created,mixed,high,0.8
separate_returns_outbound,Dock / staging adjacency,dock,separate returns area from outbound,Isolate returns from outbound,toggle,0,1,0,1,bool,"{""flow_separation_index"": 0.1, ""congestion_index"": -0.08}",{},{},{},Returns isolated,higher_better,medium,0.6
improve_consolidation_zone,Dock / staging adjacency,dock,improve consolidation zone placement,Better consolidation positioning,slider_percent,0,1,0,0.05,ratio,"{""staging_efficiency_index"": 0.12, ""order_flow_smoothness"": 0.08}",{},{},{},Consolidation improved,higher_better,medium,0.7
reduce_end_aisle_clutter,Congestion / interference,congestion,reduce end-of-aisle clutter,Remove aisle-end blockages,slider_percent,0,1,0,0.05,ratio,"{""congestion_index"": -0.16, ""accessibility_index"": 0.1}",{},{},{},Clutter reduced,higher_better,low,0.8
reduce_replenishment_interference,Congestion / interference,congestion,reduce replenishment interference,Separate replenishment from picking,slider_percent,0,1,0,0.05,ratio,"{""replenishment_interference_index"": -0.2, ""congestion_index"": -0.08}",{},{},{},Interference reduced,higher_better,medium,0.9
spread_hotspot_traffic,Congestion / interference,congestion,spread hotspot traffic,Disperse hotspots,slider_percent,0,1,0,0.05,ratio,"{""hotspot_concentration_index"": -0.2, ""congestion_index"": -0.06}",{},{},{},Traffic spread,higher_better,medium,0.8
reduce_pinch_points,Congestion / interference,congestion,reduce pinch points,Remove choke points,slider_percent,0,1,0,0.05,ratio,"{""congestion_index"": -0.14, ""flow_separation_index"": 0.06}",{},{},{},Pinch points reduced,higher_better,medium,0.8
