aisle,row,bay,level,bin,zone,staging_area,sku,pick_frequency,movement_count,temperature_class,area_type
A1,1,11,1,B1,Z1,ST1,SKU1,99,201,dry,pick
A2,2,12,1,B2,Z1,ST1,SKU2,98,202,dry,pick
A3,3,13,1,B3,Z1,ST1,SKU3,97,203,dry,pick
A4,4,14,1,B4,Z1,ST1,SKU4,96,204,dry,pick
A5,5,15,1,B5,Z1,ST1,SKU5,95,205,dry,pick
A6,6,16,1,B6,Z1,ST1,SKU6,94,206,dry,pick
A7,7,17,1,B7,Z1,ST1,SKU7,93,207,dry,pick
A8,8,18,1,B8,Z1,ST1,SKU8,92,208,dry,pick
A9,9,19,1,B9,Z1,ST1,SKU9,91,209,dry,pick
A10,10,20,1,B10,Z1,ST1,SKU10,90,210,dry,pick
